id,name,nvar,ncon,nequ,status,objective,elapsed_time,iter,dual_feas,primal_feas,neval_obj,neval_grad,neval_cons,neval_jcon,neval_jgrad,neval_jac,neval_jprod,neval_jtprod,neval_hess,neval_hprod,neval_jhprod,neval_residual,neval_jac_residual,neval_jprod_residual,neval_jtprod_residual,neval_hess_residual,neval_jhess_residual,neval_hprod_residual,extrainfo
95,JENSMP,2,0,0,first_order,124.36218246835682,0.005331993103027344,110,0.04419576832849149,0.0,187,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
96,JUDGE,2,0,0,first_order,16.08173024309288,0.000985860824584961,20,0.0015699346638802438,0.0,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
97,KIRBY2LS,5,0,0,user,1774.9497443853843,0.01947307586669922,50,1.289765901368173e7,0.0,79,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
98,KOWOSB,4,0,0,first_order,0.0003078009467476295,0.004642009735107422,106,9.257170950646679e-8,0.0,177,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
99,KSSLS,1000,0,0,first_order,0.64560192125663,2.956915855407715,42,1603.7795299592126,0.0,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100,LANCZOS1LS,6,0,0,first_order,2.2244734259514317e-5,0.03919410705566406,146,0.00011369121406141473,0.0,256,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
101,LANCZOS2LS,6,0,0,first_order,8.192322338204479e-6,0.046000003814697266,179,0.00011377817139263348,0.0,307,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
102,LANCZOS3LS,6,0,0,first_order,9.948379382992075e-6,0.03273606300354004,137,0.00011265953633320439,0.0,237,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
103,LOGHAIRY,2,0,0,max_eval,6.233221325015113,0.020136117935180664,577,0.004098543353861465,0.0,1002,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
104,LSC1LS,3,0,0,user,1101.7212178338516,0.003119945526123047,66,10.061003067026414,0.0,128,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
105,LSC2LS,3,0,0,user,17.65735492755638,0.004689931869506836,127,3.1761689892636604,0.0,219,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
106,LUKSAN11LS,100,0,0,max_eval,284.9627713135116,0.6188199520111084,577,10.583635675439512,0.0,1001,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
107,LUKSAN12LS,98,0,0,max_eval,4292.406017041959,0.5859050750732422,573,3.970159142490812,0.0,1002,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
108,LUKSAN13LS,98,0,0,first_order,25188.859589901993,0.29471778869628906,312,0.008307092971578667,0.0,544,544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
109,LUKSAN14LS,98,0,0,first_order,124.69588513216566,0.20829987525939941,202,0.005164399006786144,0.0,351,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
110,LUKSAN15LS,100,0,0,first_order,3.5696968797041815,0.13607215881347656,42,0.008002710061474076,0.0,69,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
111,LUKSAN16LS,100,0,0,first_order,3.5696969024227045,0.057890892028808594,42,0.019630839073584976,0.0,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
112,LUKSAN17LS,100,0,0,first_order,0.5122197025012228,0.5430419445037842,227,0.32084979573015177,0.0,397,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
113,LUKSAN21LS,100,0,0,max_eval,91.77300493053737,0.6233029365539551,578,0.30854932997735685,0.0,1001,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
114,LUKSAN22LS,100,0,0,max_eval,868.9426913925583,0.6929981708526611,590,0.13204755771969637,0.0,1002,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
115,MANCINO,100,0,0,first_order,0.13136791347046992,0.4872438907623291,32,1006.7182889187343,0.0,58,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
116,MARATOSB,2,0,0,first_order,0.9958931717011006,0.00026106834411621094,9,0.7311867380532117,0.0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
117,METHANB8LS,31,0,0,max_eval,0.0017842211898648553,0.24487090110778809,579,0.18408634711251634,0.0,1002,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
118,METHANL8LS,31,0,0,max_eval,3.214798853275208,0.20955395698547363,574,8.049200023126744,0.0,1001,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
119,MEXHAT,2,0,0,user,1871.5031551411594,0.0006070137023925781,10,3.9723958194062123e6,0.0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
120,MEYER3,3,0,0,user,5.377604319153564e6,0.0006511211395263672,15,1.0507931804665089e9,0.0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
121,MGH09LS,4,0,0,user,0.001969776864231887,0.001672983169555664,34,0.0009278200790319412,0.0,67,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
122,MGH10LS,3,0,0,first_order,1.36685611473299e9,0.00010609626770019531,3,9107.927007322298,0.0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
123,MGH10SLS,3,0,0,user,1.3511083194227327e10,0.001046895980834961,26,1.4936681532171109e9,0.0,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
124,MGH17LS,5,0,0,first_order,1.0224319916877507,0.021234989166259766,77,0.0002374651229848995,0.0,133,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
125,MGH17SLS,5,0,0,first_order,1.1028432727930246,0.003934144973754883,7,0.0003719249156562998,0.0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
126,MISRA1ALS,2,0,0,first_order,19.51592465984124,0.0010569095611572266,20,1.134581022533369,0.0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
127,MISRA1BLS,2,0,0,first_order,7.317532945270345,0.0021660327911376953,20,2.191986164126381,0.0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
